epoch,loss,precision,recall,f1,tp,fp,fn
1,24.5925,0.9777,1.0,0.9887,614,14,0
2,13.7524,0.9984,1.0,0.9992,614,1,0
3,11.7493,1.0,1.0,1.0,614,0,0
4,11.231,0.9935,1.0,0.9968,614,4,0
5,9.9865,0.9951,1.0,0.9976,614,3,0
6,9.6313,1.0,1.0,1.0,614,0,0
7,9.3755,0.9984,1.0,0.9992,614,1,0
8,8.9346,1.0,1.0,1.0,614,0,0
9,8.7711,1.0,1.0,1.0,614,0,0
10,8.4941,0.9968,1.0,0.9984,614,2,0
11,7.7017,1.0,1.0,1.0,614,0,0
12,7.7152,1.0,1.0,1.0,614,0,0
13,7.4801,0.9903,1.0,0.9951,614,6,0
14,7.244,0.9968,1.0,0.9984,614,2,0
15,6.5271,0.9968,1.0,0.9984,614,2,0
16,6.586,1.0,1.0,1.0,614,0,0
17,6.4987,0.9968,1.0,0.9984,614,2,0
18,6.1747,0.9935,1.0,0.9968,614,4,0
19,6.0695,0.9903,1.0,0.9951,614,6,0
20,5.9365,0.9935,1.0,0.9968,614,4,0
21,6.1857,0.9951,1.0,0.9976,614,3,0
22,5.6578,0.9984,1.0,0.9992,614,1,0
23,5.1075,0.9984,1.0,0.9992,614,1,0
24,5.5748,1.0,1.0,1.0,614,0,0
25,5.492,0.9951,1.0,0.9976,614,3,0
26,5.4031,0.9935,1.0,0.9968,614,4,0
27,4.7651,0.9984,1.0,0.9992,614,1,0
28,4.5712,0.9968,1.0,0.9984,614,2,0
29,4.3136,1.0,1.0,1.0,614,0,0
30,4.0567,1.0,1.0,1.0,614,0,0
31,3.4633,0.9951,1.0,0.9976,614,3,0
32,3.7278,0.9984,1.0,0.9992,614,1,0
33,3.5936,0.9984,1.0,0.9992,614,1,0
34,3.9816,0.9984,1.0,0.9992,614,1,0
35,3.4641,1.0,1.0,1.0,614,0,0
36,3.5203,0.9903,1.0,0.9951,614,6,0
37,3.5693,0.9968,1.0,0.9984,614,2,0
38,3.3326,1.0,1.0,1.0,614,0,0
39,3.0587,0.9935,1.0,0.9968,614,4,0
40,2.7826,0.9968,1.0,0.9984,614,2,0
41,2.8015,0.9951,1.0,0.9976,614,3,0
42,2.8751,0.9984,1.0,0.9992,614,1,0
43,2.7331,0.9984,1.0,0.9992,614,1,0
44,2.4349,0.9984,1.0,0.9992,614,1,0
45,2.2998,0.9968,1.0,0.9984,614,2,0
46,2.3664,0.9984,1.0,0.9992,614,1,0
47,2.3922,0.9951,1.0,0.9976,614,3,0
48,2.058,0.9935,1.0,0.9968,614,4,0
49,1.9644,0.9984,1.0,0.9992,614,1,0
50,1.9005,0.9968,1.0,0.9984,614,2,0
