epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1483,1.7519,4.04586,1.58616,0.00473,0.6343,0.05451,0.02386,1.36112,3.60029,1.30147,0.002,0.002,0.002
2,26.3216,1.46821,2.43565,1.31995,0.00613,0.81965,0.24778,0.14204,1.29067,3.39058,1.24763,0.00409594,0.00409594,0.00409594
3,38.7207,1.407,1.62599,1.26404,0.70192,0.32981,0.52469,0.29119,1.30102,3.22329,1.28919,0.00618772,0.00618772,0.00618772
4,52.085,1.43587,1.44396,1.27938,0.97648,0.21113,0.86045,0.47554,1.4179,2.54133,1.37626,0.00827535,0.00827535,0.00827535
5,64.1356,1.42129,1.43067,1.28211,0.9035,0.52144,0.74126,0.3671,1.65049,2.50101,1.65344,0.0099604,0.0099604,0.0099604
6,75.4319,1.4234,1.37988,1.28574,0.93798,0.83638,0.92196,0.53714,1.47589,1.64426,1.47953,0.0099505,0.0099505,0.0099505
7,87.2381,1.43008,1.27718,1.29974,0.91208,0.86287,0.9353,0.50221,1.58297,1.34875,1.5485,0.0099406,0.0099406,0.0099406
8,99.1459,1.41908,1.23912,1.28008,0.92603,0.84964,0.94935,0.50773,1.54253,1.30748,1.48927,0.0099307,0.0099307,0.0099307
9,111.617,1.35697,1.14432,1.25953,0.89815,0.85041,0.94865,0.54986,1.449,1.313,1.46016,0.0099208,0.0099208,0.0099208
10,123.519,1.3683,1.07032,1.26025,0.94204,0.94015,0.96673,0.55788,1.44496,0.94732,1.48995,0.0099109,0.0099109,0.0099109
11,135.472,1.36587,1.02831,1.25744,0.89079,0.85866,0.93889,0.53129,1.4199,1.65832,1.41061,0.009901,0.009901,0.009901
12,146.709,1.32803,0.98427,1.23952,0.83484,0.79543,0.94201,0.57559,1.38572,1.09648,1.38655,0.0098911,0.0098911,0.0098911
13,157.816,1.31192,0.94669,1.24588,0.78693,0.82981,0.84166,0.49005,1.43219,1.40175,1.43509,0.0098812,0.0098812,0.0098812
14,170.429,1.34112,0.91106,1.25233,0.87928,0.82091,0.94957,0.56017,1.42363,1.249,1.368,0.0098713,0.0098713,0.0098713
15,182.56,1.29567,0.88671,1.22704,0.92501,0.93032,0.96289,0.58239,1.34346,1.10877,1.29895,0.0098614,0.0098614,0.0098614
16,194.666,1.32868,0.8602,1.2536,0.85217,0.86551,0.92958,0.55111,1.45968,1.54904,1.39613,0.0098515,0.0098515,0.0098515
17,206.559,1.31322,0.82129,1.21765,0.94626,0.96137,0.97725,0.61286,1.29501,0.79168,1.28833,0.0098416,0.0098416,0.0098416
18,218.066,1.28064,0.82967,1.19703,0.82922,0.83254,0.90031,0.5224,1.47591,1.21621,1.41753,0.0098317,0.0098317,0.0098317
19,229.415,1.29313,0.80631,1.22143,0.97013,0.96199,0.97473,0.60825,1.34442,0.7532,1.30763,0.0098218,0.0098218,0.0098218
20,241.207,1.25853,0.77509,1.18942,0.97985,0.9618,0.97905,0.62212,1.32015,0.76222,1.28461,0.0098119,0.0098119,0.0098119
21,253.297,1.26169,0.77936,1.19129,0.90516,0.9577,0.96264,0.59891,1.34968,0.82849,1.33207,0.009802,0.009802,0.009802
22,265.136,1.26239,0.77417,1.1974,0.96387,0.94581,0.97969,0.62648,1.31875,0.74641,1.28228,0.0097921,0.0097921,0.0097921
23,277.279,1.24552,0.72882,1.18995,0.97938,0.97145,0.98745,0.64162,1.27234,0.64566,1.26359,0.0097822,0.0097822,0.0097822
24,288.041,1.23791,0.72048,1.21361,0.95536,0.95782,0.97967,0.62016,1.32579,0.70424,1.30693,0.0097723,0.0097723,0.0097723
25,299.885,1.24392,0.74465,1.19115,0.97368,0.96606,0.9785,0.62041,1.28249,0.84269,1.25485,0.0097624,0.0097624,0.0097624
26,312.063,1.268,0.71263,1.20664,0.94973,0.97063,0.98633,0.61952,1.29688,0.69448,1.29472,0.0097525,0.0097525,0.0097525
27,324.279,1.2292,0.70089,1.19447,0.97336,0.94346,0.9853,0.62515,1.27501,0.64496,1.27246,0.0097426,0.0097426,0.0097426
28,335.607,1.25071,0.68823,1.18424,0.97988,0.96246,0.98841,0.63307,1.30176,0.64176,1.27573,0.0097327,0.0097327,0.0097327
29,346.958,1.2351,0.70579,1.17718,0.97745,0.97247,0.99073,0.63667,1.27552,0.62759,1.27343,0.0097228,0.0097228,0.0097228
30,358.599,1.23709,0.68855,1.18526,0.97687,0.98208,0.98851,0.62701,1.29052,0.65823,1.24699,0.0097129,0.0097129,0.0097129
31,370.936,1.21685,0.68846,1.17781,0.96751,0.96734,0.97962,0.61344,1.31637,0.74149,1.27955,0.009703,0.009703,0.009703
32,383.415,1.23083,0.71024,1.17329,0.97871,0.95104,0.98836,0.63946,1.23898,0.73772,1.24562,0.0096931,0.0096931,0.0096931
33,394.651,1.21084,0.66508,1.17709,0.96845,0.9662,0.98549,0.6214,1.30408,0.67477,1.3099,0.0096832,0.0096832,0.0096832
34,406.392,1.21633,0.6591,1.17589,0.94321,0.91785,0.9743,0.61133,1.32271,0.86913,1.32758,0.0096733,0.0096733,0.0096733
35,418.437,1.19697,0.64955,1.17337,0.98208,0.97266,0.99065,0.6367,1.2854,0.60572,1.26831,0.0096634,0.0096634,0.0096634
36,429.96,1.22409,0.66976,1.17406,0.99125,0.97837,0.98745,0.62726,1.27465,0.63617,1.29132,0.0096535,0.0096535,0.0096535
37,441.706,1.19502,0.64279,1.16006,0.93639,0.95268,0.97625,0.63596,1.25166,0.71108,1.24303,0.0096436,0.0096436,0.0096436
38,453.657,1.19718,0.65651,1.16183,0.98756,0.97724,0.98985,0.6585,1.24753,0.57383,1.24715,0.0096337,0.0096337,0.0096337
39,465.247,1.19919,0.63134,1.15713,0.97852,0.97271,0.98974,0.65402,1.26339,0.60007,1.25928,0.0096238,0.0096238,0.0096238
40,477.532,1.18275,0.62371,1.16164,0.95993,0.9659,0.98454,0.62915,1.31291,0.70514,1.32115,0.0096139,0.0096139,0.0096139
41,488.583,1.20087,0.62185,1.16293,0.92731,0.94388,0.97945,0.62509,1.32962,0.96603,1.36634,0.009604,0.009604,0.009604
42,500.084,1.17417,0.63719,1.15816,0.97996,0.95546,0.98428,0.64151,1.28138,0.61059,1.25233,0.0095941,0.0095941,0.0095941
43,512.216,1.17318,0.62184,1.14646,0.97106,0.96839,0.98817,0.67306,1.21407,0.6128,1.20322,0.0095842,0.0095842,0.0095842
44,524.166,1.16274,0.61153,1.15053,0.99397,0.97599,0.99137,0.65986,1.25494,0.567,1.21618,0.0095743,0.0095743,0.0095743
45,536.232,1.17028,0.62092,1.1382,0.96907,0.9739,0.98673,0.65148,1.26236,0.58638,1.25044,0.0095644,0.0095644,0.0095644
46,548.066,1.16722,0.60778,1.1582,0.99111,0.96658,0.98791,0.64614,1.26406,0.56921,1.23496,0.0095545,0.0095545,0.0095545
47,558.752,1.19245,0.61592,1.1617,0.98768,0.96114,0.9901,0.6269,1.3081,0.64019,1.27478,0.0095446,0.0095446,0.0095446
48,570.63,1.16444,0.6077,1.13185,0.97696,0.96835,0.97774,0.63163,1.26946,0.60779,1.23609,0.0095347,0.0095347,0.0095347
49,582.474,1.17373,0.61342,1.16001,0.96918,0.97138,0.98623,0.63215,1.2499,0.62624,1.23699,0.0095248,0.0095248,0.0095248
50,594.345,1.16098,0.5976,1.14388,0.97134,0.97263,0.98846,0.63614,1.28784,0.60379,1.30982,0.0095149,0.0095149,0.0095149
51,606.404,1.15393,0.59513,1.13471,0.99196,0.97308,0.98989,0.65882,1.23029,0.55618,1.2113,0.009505,0.009505,0.009505
52,618.379,1.15077,0.59508,1.13919,0.91797,0.88922,0.97751,0.63317,1.29448,0.85933,1.28173,0.0094951,0.0094951,0.0094951
53,629.563,1.14909,0.59773,1.13097,0.96996,0.96617,0.98943,0.63254,1.32057,0.62656,1.39329,0.0094852,0.0094852,0.0094852
54,641.701,1.15417,0.59683,1.14576,0.9765,0.95846,0.98931,0.65335,1.25407,0.56987,1.26261,0.0094753,0.0094753,0.0094753
55,653.882,1.15972,0.59585,1.13767,0.98411,0.9778,0.98684,0.65632,1.25982,0.5616,1.27973,0.0094654,0.0094654,0.0094654
56,665.953,1.14094,0.57991,1.13142,0.98445,0.98384,0.98855,0.66127,1.22832,0.68152,1.21939,0.0094555,0.0094555,0.0094555
57,677.551,1.14907,0.58715,1.1334,0.97703,0.97277,0.98641,0.65338,1.23781,0.60621,1.23742,0.0094456,0.0094456,0.0094456
58,689.06,1.14998,0.5846,1.12408,0.99256,0.97128,0.98965,0.66967,1.24602,0.53086,1.231,0.0094357,0.0094357,0.0094357
59,700.32,1.12861,0.57911,1.13074,0.97828,0.97995,0.9891,0.66094,1.25735,0.58275,1.25916,0.0094258,0.0094258,0.0094258
60,712.005,1.14104,0.57498,1.13949,0.98508,0.96514,0.98662,0.65474,1.23486,0.54368,1.24133,0.0094159,0.0094159,0.0094159
