epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0546,2.0195,4.38943,1.85645,0.01108,0.39024,0.04131,0.01677,1.52731,3.78707,1.53415,2.5e-05,2.5e-05,2.5e-05
2,25.119,1.99882,4.35526,1.90036,0.02026,0.82927,0.14197,0.04665,1.39282,3.6393,1.3541,6.18813e-05,6.18813e-05,6.18813e-05
3,26.982,1.64887,4.11515,1.56908,0.02134,1,0.61629,0.38777,1.1446,3.30049,1.03176,9.802e-05,9.802e-05,9.802e-05
4,28.4965,1.36417,3.58771,1.17067,0.02248,1,0.94199,0.35688,1.7944,3.34744,1.08378,0.000133416,0.000133416,0.000133416
5,30.1237,1.25221,3.13223,1.03598,0.02264,1,0.99407,0.60955,1.20482,3.12703,0.94557,0.00016807,0.00016807,0.00016807
6,31.7082,1.30226,2.63434,1.02964,0.0196,1,0.995,0.67763,1.16454,2.99882,0.94797,0.000201981,0.000201981,0.000201981
7,33.2703,1.19958,2.24622,1.02306,0.02033,1,0.995,0.59713,1.31382,3.00409,0.9607,0.00023515,0.00023515,0.00023515
8,34.6571,1.33775,1.89546,1.05486,0.02398,1,0.99314,0.6784,1.10224,2.99495,0.9704,0.000267576,0.000267576,0.000267576
9,36.3616,1.2931,1.68918,1.03006,0.02296,1,0.995,0.67829,1.14821,2.99682,0.99011,0.00029926,0.00029926,0.00029926
10,38.4763,1.28485,1.46827,1.04558,0.02559,1,0.99239,0.70365,1.03049,2.97755,0.94745,0.000330201,0.000330201,0.000330201
11,40.5419,1.18968,1.34408,1.03661,0.0269,1,0.995,0.68352,1.05391,3.02729,0.98079,0.0003604,0.0003604,0.0003604
12,42.0969,1.18152,1.32832,1.02981,0.02422,1,0.99333,0.63992,1.07858,3.02742,0.93014,0.000389856,0.000389856,0.000389856
