epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.28434,2.54114,2.52539,1.81667,0.00787,1,0.81602,0.25392,1.98046,3.10369,1.67534,2.5e-05,2.5e-05,2.5e-05
2,4.21736,2.46168,2.403,1.82415,0.00371,0.29268,0.12237,0.03673,3.0494,3.8545,2.37654,6.18813e-05,6.18813e-05,6.18813e-05
3,5.82574,2.55102,2.63612,1.87651,0,0,0,0,3.99991,4.13843,2.89856,9.802e-05,9.802e-05,9.802e-05
4,8.39183,2.16636,2.09047,1.71777,0,0,0,0,4.07895,4.15087,2.91924,0.000133416,0.000133416,0.000133416
5,10.9579,1.7581,1.7585,1.49522,0,0,0,0,4.28705,4.2175,3.02693,0.00016807,0.00016807,0.00016807
6,12.5434,1.60361,1.51195,1.36976,0,0,0,0,4.40251,4.28268,3.109,0.000201981,0.000201981,0.000201981
7,14.2305,1.41182,1.39643,1.29557,0,0,0,0,4.34821,4.28261,3.00962,0.00023515,0.00023515,0.00023515
8,15.7167,1.35461,1.3463,1.20853,0,0,0,0,4.18916,4.22069,2.82593,0.000267576,0.000267576,0.000267576
9,17.2872,1.38187,1.24107,1.17543,0,0,0,0,3.84559,4.07569,2.60976,0.00029926,0.00029926,0.00029926
10,18.8923,1.22529,1.19304,1.14028,0.00377,0.09756,0.03204,0.00398,3.32331,3.8491,2.37478,0.000330201,0.000330201,0.000330201
11,20.3329,1.24397,1.10762,1.12643,0.02014,0.56098,0.43758,0.16257,2.68693,3.5322,1.98272,0.0003604,0.0003604,0.0003604
12,22.4979,1.17568,1.13128,1.09039,1,0.24439,0.9093,0.46358,1.94377,2.87218,1.59104,0.000389856,0.000389856,0.000389856
13,25.0939,1.18951,1.11064,1.09729,1,0.78136,0.96999,0.60968,1.51055,2.35905,1.33196,0.00041857,0.00041857,0.00041857
14,26.8072,1.17487,1.04869,1.12222,1,0.90938,0.995,0.67185,1.27241,1.77891,1.18707,0.000446541,0.000446541,0.000446541
15,28.5302,1.24615,1.05233,1.06952,1,0.95075,0.995,0.67095,1.18754,1.55119,1.09487,0.00047377,0.00047377,0.00047377
16,30.2095,1.17605,1.04486,1.09012,0.99697,1,0.995,0.63993,1.22791,1.46314,1.11755,0.000500256,0.000500256,0.000500256
17,31.7692,1.23911,1.06577,1.13659,0.99498,1,0.995,0.6531,1.18709,1.21261,1.13554,0.000526,0.000526,0.000526
18,33.8659,1.16861,0.93916,1.05638,0.99678,1,0.995,0.67628,1.12164,1.054,1.0961,0.000551001,0.000551001,0.000551001
19,35.5308,1.09187,1.0687,1.08164,0.9968,1,0.995,0.67685,1.10165,1.04738,1.07627,0.00057526,0.00057526,0.00057526
20,37.9136,1.2219,0.97936,1.14472,0.99627,1,0.995,0.70321,1.05211,1.10712,1.03903,0.000598776,0.000598776,0.000598776
21,40.3446,1.15688,0.93988,1.06271,0.99606,1,0.995,0.71372,1.044,1.1174,1.02894,0.00062155,0.00062155,0.00062155
22,41.9094,1.13677,0.95778,1.0689,0.99674,1,0.995,0.73126,1.01415,1.04088,1.01922,0.000643581,0.000643581,0.000643581
23,43.5709,1.14581,0.91548,1.08467,0.99748,1,0.995,0.73462,0.99978,0.96527,1.01682,0.00066487,0.00066487,0.00066487
24,45.3202,1.12856,0.85785,1.06699,0.99802,1,0.995,0.70668,1.06976,0.83161,1.03776,0.000685416,0.000685416,0.000685416
25,46.8281,1.18483,0.89302,1.06784,0.99825,1,0.995,0.70974,1.03262,0.79709,1.04401,0.00070522,0.00070522,0.00070522
26,48.4334,1.18594,0.90696,1.05631,0.99821,1,0.995,0.71108,0.99179,0.77224,1.05333,0.000724281,0.000724281,0.000724281
27,50.1069,1.08314,0.92341,1.02129,0.99821,1,0.995,0.71206,0.99177,0.79463,1.0622,0.0007426,0.0007426,0.0007426
28,52.2626,1.10429,0.88212,1.05403,0.99808,1,0.995,0.73637,0.98436,0.83104,1.06338,0.000760176,0.000760176,0.000760176
29,54.4595,1.17745,0.86801,1.04517,0.99802,1,0.995,0.72027,1.02324,0.80221,1.06407,0.00077701,0.00077701,0.00077701
30,56.3559,1.10112,0.90631,1.04908,0.99801,1,0.995,0.72241,1.00342,0.7403,1.04787,0.000793101,0.000793101,0.000793101
31,57.9718,1.09543,0.83712,1.09795,0.998,1,0.995,0.72855,0.99221,0.73919,1.03593,0.00080845,0.00080845,0.00080845
32,59.6426,1.08235,0.82237,1.04301,0.99799,1,0.995,0.74418,0.97768,0.71976,1.03169,0.000823056,0.000823056,0.000823056
33,61.232,1.07157,0.80877,1.05043,0.99806,1,0.995,0.73427,0.99141,0.70761,1.03275,0.00083692,0.00083692,0.00083692
34,62.786,1.13154,0.89642,1.10067,0.99814,1,0.995,0.71531,1.06737,0.68247,1.0971,0.000841625,0.000841625,0.000841625
35,64.2984,1.03964,0.78398,1.03181,0.99832,1,0.995,0.70995,1.02956,0.66344,1.08978,0.00082925,0.00082925,0.00082925
36,66.4225,1.12434,0.82772,1.06891,0.99836,1,0.995,0.73441,0.93772,0.66021,1.07196,0.000816875,0.000816875,0.000816875
37,69.0532,1.09973,0.8272,1.10158,0.9984,1,0.995,0.7334,0.95426,0.64456,1.08036,0.0008045,0.0008045,0.0008045
38,71.0988,1.06494,0.78669,1.05715,0.99835,1,0.995,0.7495,0.97026,0.64925,1.08049,0.000792125,0.000792125,0.000792125
39,72.5754,1.06937,0.74334,1.05594,0.99825,1,0.995,0.72859,0.94982,0.63361,1.08208,0.00077975,0.00077975,0.00077975
40,74.0964,0.98461,0.71107,1.00301,0.99862,1,0.995,0.72461,0.94003,0.59378,1.09214,0.000767375,0.000767375,0.000767375
41,75.6717,1.02742,0.72011,1.03573,0.99861,1,0.995,0.7282,0.93708,0.58899,1.08823,0.000755,0.000755,0.000755
42,77.3317,0.99258,0.75849,0.98856,0.99842,1,0.995,0.72447,0.96322,0.5976,1.08516,0.000742625,0.000742625,0.000742625
43,78.9068,1.01778,0.73107,1.02373,0.99838,1,0.995,0.73026,0.95376,0.60947,1.07894,0.00073025,0.00073025,0.00073025
44,80.8641,1.07553,0.78612,1.0311,0.99846,1,0.995,0.70902,0.97221,0.59806,1.07678,0.000717875,0.000717875,0.000717875
45,83.2718,1.08611,0.762,1.0583,0.99853,1,0.995,0.70981,0.97267,0.5739,1.08129,0.0007055,0.0007055,0.0007055
46,85.5422,1.10519,0.76641,1.0203,0.99864,1,0.995,0.72132,0.93204,0.55172,1.06854,0.000693125,0.000693125,0.000693125
47,87.0504,1.03446,0.81837,1.02509,0.99857,1,0.995,0.7328,0.92844,0.54564,1.06341,0.00068075,0.00068075,0.00068075
48,88.626,1.01695,0.70116,1.03973,0.99845,1,0.995,0.73413,0.94647,0.56021,1.05796,0.000668375,0.000668375,0.000668375
49,90.2754,1.09309,0.75356,1.03746,0.99841,1,0.995,0.74252,0.91718,0.55832,1.04528,0.000656,0.000656,0.000656
50,91.8779,1.00006,0.7112,1.02719,0.99828,1,0.995,0.74025,0.90892,0.55982,1.04212,0.000643625,0.000643625,0.000643625
51,93.4319,0.99394,0.69042,1.00439,0.99836,1,0.995,0.71819,0.93846,0.54067,1.04422,0.00063125,0.00063125,0.00063125
52,95.3619,1.10296,0.76873,1.04523,0.99838,1,0.995,0.72212,0.97821,0.53996,1.05367,0.000618875,0.000618875,0.000618875
53,97.8747,0.98982,0.69863,1.04676,0.99835,1,0.995,0.73351,0.96223,0.54395,1.04692,0.0006065,0.0006065,0.0006065
54,99.8768,0.95887,0.69403,0.99882,0.99839,1,0.995,0.75003,0.96209,0.54774,1.05404,0.000594125,0.000594125,0.000594125
55,101.497,1.02587,0.68767,1.0073,0.99845,1,0.995,0.75181,0.9422,0.53428,1.05049,0.00058175,0.00058175,0.00058175
56,103.173,1.04963,0.7837,1.06387,0.99859,1,0.995,0.74614,0.91395,0.51268,1.03598,0.000569375,0.000569375,0.000569375
57,104.915,1.02317,0.70849,1.04523,0.99858,1,0.995,0.7546,0.92349,0.50948,1.03516,0.000557,0.000557,0.000557
58,106.395,1.01302,0.73386,1.02806,0.99853,1,0.995,0.74743,0.94758,0.50724,1.03292,0.000544625,0.000544625,0.000544625
